"ptID","Lon","Lat","A","TREE_DENS","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND"
"pt1",11.2500000012043,79.1899781207881,0.160874649882317,0,NA,NA,-5.5,3.1,18,60,26,7,1
"pt2",11.2500000006668,64.3241704065009,0.371416658163071,62102,5929,3001.16674804688,4.6,12.2,28,230,23,123,0
"pt3",11.2500000006595,63.560553589047,0.381594300270081,86663,6546,3047,3.6,12.1,27,163,24,20,0
"pt4",11.2500000006531,62.7992348425048,0.391814827919006,0,4482,2105.91674804688,-0.4,9.3,25,97,36,51,0
"pt5",11.2500000006474,62.0402681757324,0.401854246854782,0,3045,2293.41674804688,-1.4,8.8,25,81,44,40,0
"pt6",11.2500000006425,61.2837064547478,0.411713123321533,89553,8113,3332.66674804688,3,13.6,25,71,43,60,0
"pt7",11.2500000006382,60.529601388567,0.421608835458755,91449,9870,4403.66650390625,3.5,13.9,24,111,31,90,0
"pt8",11.2500000006345,59.7780035163069,0.431322157382965,80790,6939,4164.33349609375,5.4,15.3,24,134,26,52,0
"pt9",11.2500000006314,59.0289621955446,0.440960586071014,78133,11051,3945.66674804688,6.7,15.6,22,132,26,54,0
"pt10",-167.062771016741,60.1765794690601,0.426150918006897,11737,3897,1170.16662597656,-1,8.2,23,92,54,6,0
"pt11",-166.774315806789,65.4691730943132,0.355856984853745,9781,3381,1618.16662597656,-5.6,7.1,19,54,62,62,0
"pt12",9.41477903869974,63.1855050445869,0.386602252721786,45247,5886,2673.33325195312,2.3,10,29,199,21,336,0
"pt13",9.45551248735553,62.4293014768666,0.396677851676941,0,1625,2364.25,-2.7,6,27,175,22,120,0
"pt14",9.49361949415889,61.675707716308,0.406573414802551,86551,7117,2063.66674804688,2.7,13,27,88,34,326,0
"pt15",9.52930980070613,60.9247816074399,0.416507095098495,40480,4904,2672.08325195312,-1.1,9,27,119,32,57,0
"pt16",9.56277101657036,60.1765794716539,0.426150918006897,101446,9362,4775.41650390625,3,13.3,26,109,32,122,0
"pt17",9.59417145329269,59.4311561116137,0.435829520225525,99294,8901,3205.5,3.2,12.3,24,145,25,42,0
"pt18",-165.330572139954,60.552868377374,0.421283781528473,17758,5097,1756.41662597656,-0.9,9.5,23,89,56,51,0
"pt19",-165.262374633334,61.2969456363374,0.411603987216949,NA,2727,2180.75,-1.2,9.8,23,82,61,0,0
"pt20",-165.189564765748,62.0439508045293,0.401744306087494,24595,3095,2026.75,-1.7,9.8,23,76,63,0,0
"pt21",-164.843597841166,65.059914023032,0.361398786306381,17530,4489,2156.5,-4.2,9.1,21,48,64,33,0
"pt22",-164.740780908928,65.8205356183686,0.351092249155045,16460,4572,2145.58325195312,-5.7,8.1,20,44,62,46,0
"pt23",-164.381934575124,68.1170849406972,0.319458395242691,14450,3802,2057.83325195312,-8.1,6.8,17,27,65,73,0
"pt24",-164.242395176693,68.8872179486451,0.308794975280762,11607,3267,1918.25,-9,6,16,23,68,71,0
"pt25",7.61174968574649,62.7938187755261,0.391814827919006,123747,8319,3272.08325195312,5.9,12.4,29,172,31,187,0
"pt26",7.68956476541438,62.0439508070157,0.401744306087494,0,NA,NA,-2.2,5,28,233,22,190,0
"pt27",7.76237463301388,61.2969456388394,0.411603987216949,31952,4979,897.5,5,13.5,29,110,33,127,0
"pt28",7.83057213984086,60.552868377696,0.421283781528473,0,3856,1764.08337402344,-1.4,7.2,27,200,24,46,0
"pt29",8.17894815950099,59.633625041496,0.43314853310585,116848,7378,2283,1,9.6,26,157,26,222,0
"pt30",-163.856347445617,60.7329282007296,0.419006168842316,0,4343,1908.66662597656,-1,10.5,23,75,57,2,0
"pt31",-163.449259561259,61.6455076352999,0.407011598348618,NA,1858,2652.16674804688,-1.6,10.8,22,62,63,0,0
"pt32",-163.338094321455,62.3877834383124,0.397229433059692,35457,5289,2431.91674804688,-2.5,10.4,22,61,64,72,0
"pt33",-162.955247833576,64.6325323524382,0.367259502410889,22934,5155,2600.75,-3.9,10.4,20,54,67,29,0
"pt34",-162.808592015898,65.3864744850292,0.356989473104477,17217,4276,2152.25,-5.7,9,20,49,65,72,0
"pt35",-162.480946046932,66.9023485248416,0.336260706186295,29457,3851,2475.75,-5.8,9.8,18,27,72,4,0
"pt36",-162.297556812927,67.664081231288,0.325805634260178,0,3772,2463.58325195312,-7.1,8.5,17,25,69,3,0
"pt37",-162.099232516228,68.4282025836255,0.315176725387573,3319,1787,2235.41674804688,-10.1,5.5,16,26,70,474,0
"pt38",-161.884287029141,69.194598483404,0.304490447044373,961,3235,1993.33337402344,-9.4,6.3,16,20,75,8,0
"pt39",-161.650769659817,69.9631476337758,0.293748736381531,0,1897,2039.5,-9.9,5.8,16,17,77,2,0
"pt40",5.8380943209694,62.3877834407198,0.397229433059692,39295,6409,1193.83337402344,5.5,10.7,27,336,32,394,0
"pt41",5.94925956109892,61.6455076356212,0.407011598348618,21395,4013,2181.75,2.7,8.6,28,384,31,120,0
"pt42",6.35634745091974,60.7329281999275,0.419006168842316,701,1910,2420.75,1.2,8.1,27,381,30,99,0
"pt43",6.74192893855087,59.82156206901,0.430784463882446,919,4265,1972.08337402344,2.4,10,25,289,31,266,0
"pt44",-162.784056790423,59.9944901458335,0.428523689508438,18655,4226,2285.25,-0.6,10.9,23,78,54,5,0
"pt45",-162.360449220058,60.8977183374935,0.416833341121674,NA,2721,2778.75,-1.3,11.5,22,52,60,1,0
"pt46",-161.913431886545,61.8016369571239,0.404929012060165,135259,7710,3390.41674804688,-2.2,11.4,22,48,66,66,0
"pt47",-161.439610516879,62.7065967660746,0.393032103776932,36623,7157,2398.75,-3.1,10.9,22,52,69,24,0
"pt48",-161.27845526613,63.4464686930547,0.38315412402153,15577,4219,2385.91674804688,-3.7,10.4,21,48,73,45,0
"pt49",-160.920299989653,64.9354238265788,0.36309152841568,4701,3351,2348.75,-4.2,10.9,20,43,71,1,0
"pt50",-160.721023454359,65.6842937190351,0.352908968925476,15933,4475,2471.75,-5.5,10.2,19,40,69,36,0
"pt51",-160.275212910313,67.1902358449921,0.332361310720444,23438,3775,2761.58325195312,-9.1,7,18,35,68,256,0
"pt52",-160.025352818972,67.947052437043,0.321884363889694,15676,4235,2247.91674804688,-8.6,7.6,17,28,68,17,0
"pt53",-159.754899777326,68.706247428094,0.311350107192993,16004,3198,1841.91662597656,-11.5,4.6,17,28,68,56,0
"pt54",-159.461513551899,69.4676688258274,0.300643712282181,16286,3709,2096.08325195312,-9.9,6.1,16,21,70,22,0
"pt55",-159.142485736128,70.2311522892396,0.28999987244606,NA,261,13214.75,-10.5,5.3,16,17,72,0,0
"pt56",4.86044922539326,60.8977183367623,0.416833341121674,NA,8356,2700.66674804688,7.7,13.2,27,322,33,17,0
"pt57",-161.746359266447,59.257043880784,0.438077032566071,17335,5433,2098.5,-0.2,10.9,24,98,52,39,0
"pt58",-161.30639594029,60.1519474454152,0.426474750041962,20014,5078,2351.58325195312,-0.9,11.4,23,66,55,1,0
"pt59",-160.844045942307,61.0467541014991,0.414874732494354,0,4304,2569,-1.6,11.9,23,56,61,2,0
"pt60",-160.356368381158,61.9417211637764,0.403172820806503,129487,5397,1502.58337402344,-2.2,12.2,22,61,65,9,0
"pt61",-159.839879135864,62.837132219186,0.391261160373688,39651,5805,3436.16674804688,-2.8,12.3,22,56,65,1,0
"pt62",-159.290414241751,63.733301137023,0.379363209009171,38639,7240,3245.83325195312,-3.5,12.2,21,50,67,1,0
"pt63",-159.071329715213,64.4699911820542,0.369395613670349,112309,5177,2957.58325195312,-5.6,10.5,20,49,65,236,0
"pt64",-158.835992738021,65.2097822564642,0.359365165233612,18438,4689,2811.5,-6.4,10.2,19,47,63,113,0
"pt65",-158.582846824231,65.9525375235871,0.349273592233658,26258,4891,3050.75,-7.2,9.7,19,44,61,95,0
"pt66",-158.31012939009,66.6981102756504,0.33912256360054,4904,4148,2792.41674804688,-6.6,10.6,18,38,61,8,0
"pt67",-158.015836909426,67.4463427217419,0.328798800706863,16744,4296,3062.16674804688,-8,9.3,18,35,62,110,0
"pt68",-157.697682840038,68.1970645177216,0.31841778755188,16401,3394,2163.5,-11.2,5.8,18,34,65,49,0
"pt69",-157.353046533049,68.9500909717023,0.307865023612976,15733,3414,1820.75,-10.9,6,18,27,66,13,0
"pt70",-156.978910821464,69.7052208389875,0.297374308109283,15001,3344,2039.33337402344,-10.7,5.8,17,21,70,7,0
"pt71",-156.571785298227,70.462233593844,0.286714345216751,NA,520,2504.75,-11.5,4.7,16,16,72,6,0
"pt72",-156.12761137451,71.2208860295732,0.276003301143646,0,1201,1639.33337402344,-12.4,3.7,16,11,80,5,0
"pt73",-17.208099491344,81.7443552144307,0.123121522367001,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"pt74",-160.287608081099,59.4068321110193,0.436150819063187,27827,5445,2850.75,-1.3,10,24,90,49,200,0
"pt75",-159.810131143136,60.2934903942308,0.424638688564301,0,4062,1846.75,-3.3,9.3,24,83,54,48,0
"pt76",-159.308438308676,61.1795708412082,0.413131326436996,123815,7227,3654,-2.2,11.7,23,69,65,25,0
"pt77",-158.779499675791,62.0652734759643,0.401524394750595,17723,7502,2293.75,-2.7,12.3,22,66,64,123,0
"pt78",-158.219748793428,62.9508159819232,0.389709830284119,30240,4072,2441.83325195312,-3,12.9,21,58,61,2,0
"pt79",-157.62495231348,63.8364360684426,0.377911239862442,23985,6527,3197.75,-3.8,13.2,20,54,56,1,0
"pt80",-156.990039326376,64.7223937569218,0.366021484136581,28386,6746,4017,-4.5,13.6,19,54,50,6,0
"pt81",-156.704128677739,65.4549158952121,0.356083542108536,36618,3560,2978.75,-5.5,12.9,19,51,53,1,0
"pt82",-156.396354555233,66.1904450757124,0.346086353063583,5619,4578,2994.58325195312,-6.7,11.8,19,48,56,5,0
"pt83",-156.064550253392,66.9287973862052,0.335916966199875,6940,3813,2540.58325195312,-9.1,9.3,19,48,57,303,0
"pt84",-155.706254127424,67.6697731400883,0.325690418481827,17674,2288,2137.25,-10.7,7.7,19,43,61,35,0
"pt85",-155.318658609767,68.4131546750592,0.315408408641815,16024,3445,2030.33337402344,-12.3,6.2,19,35,65,33,0
"pt86",-154.898548493853,69.1587036715032,0.30495622754097,8175,2891,2084,-12.2,6.4,18,26,68,121,0
"pt87",-154.44222581866,69.9061578649083,0.294567942619324,0,2039,1980.58337402344,-11.8,6.9,18,18,71,3,0
"pt88",-153.945417926288,70.6552269887056,0.284011900424957,NA,NA,NA,-12.5,6.3,17,13,74,0,0
"pt89",-30.5746985529576,82.9497737617833,0.105322301387787,NA,NA,NA,-18.2,-1.3,17,30,31,0,1
"pt90",-26.5968519280265,82.3265097697321,0.114475511014462,NA,NA,NA,-17.2,-0.1,17,25,29,0,1
"pt91",-23.2398638142853,81.6722728551776,0.124232225120068,NA,NA,NA,-16.9,0.5,17,25,28,0,1
"pt92",-20.3894711617625,80.9942312374862,0.134218573570251,NA,NA,NA,-19.3,-1.6,17,42,23,0,1
"pt93",-17.9522754097012,80.2978112518781,0.144554704427719,NA,NA,NA,-14.4,2.8,17,22,33,0,1
"pt94",-159.238597053263,58.6635943444029,0.445644944906235,3106,3627,2241.08325195312,0.9,11.3,25,91,42,3,0
"pt95",-158.812036857151,59.5405974991017,0.434436112642288,109995,7108,5615.33349609375,-0.1,11.5,25,89,45,141,0
"pt96",-158.296565454728,60.4186967213302,0.423016428947449,16373,4370,2289.16674804688,-1.9,11,24,82,54,11,0
"pt97",-157.755056283941,61.2957273074512,0.411603987216949,9631,3980,2463.5,-2.7,11.4,23,74,59,338,0
"pt98",-157.184397708728,62.1718328495166,0.40009418129921,35675,6845,1975.83337402344,-2.7,12.8,23,65,60,86,0
"pt99",-156.580950379632,63.047166420429,0.388489782810211,38987,6427,3225.41674804688,-4.9,11.8,22,60,60,140,0
"pt100",-155.940423743886,63.9218914428092,0.376793414354324,44916,6193,3264.91674804688,-4.4,13.4,21,55,55,16,0
"pt101",-155.257715476616,64.7961821695211,0.365007877349854,45232,7242,3362.58325195312,-4.9,13.6,21,56,56,3,0
"pt102",-154.526700145936,65.6702233823834,0.353135913610458,6373,5096,2992.08325195312,-6.4,12.6,21,60,59,9,0
"pt103",-154.164110916659,66.3973477518884,0.343235641717911,22867,5522,3457.41674804688,-8.1,11.3,22,61,58,171,0
"pt104",-153.772970034753,67.1272675478319,0.333164811134338,0,652,2531.25,-12.2,7.2,22,54,60,425,0
"pt105",-153.35036089007,67.8597333265122,0.323038518428802,13364,3380,1927.16662597656,-13.1,6.7,21,40,63,98,0
"pt106",-152.892961238305,68.5944711252434,0.312858432531357,15279,3837,2024,-12.1,8.2,19,27,66,114,0
"pt107",-152.396972210346,69.3311787344002,0.302626252174377,1014,3113,2276,-11.9,9,18,17,75,4,0
"pt108",-151.858032387524,70.069521141842,0.292226523160934,0,1514,2077.75,-12.5,8.1,17,13,79,4,0
"pt109",-37.2008173330042,82.678044853517,0.109282031655312,NA,NA,NA,-16.7,-0.4,17,25,40,0,1
"pt110",-32.8454193756386,82.1145161312778,0.117688342928886,NA,NA,NA,-19.1,-2.6,16,44,29,0,1
"pt111",-29.1005337561614,81.5117615885325,0.126576334238052,NA,NA,NA,-19.1,-2.5,17,47,22,0,1
"pt112",-25.8748680118706,80.8779935458522,0.135942727327347,NA,NA,NA,-18.7,-2,18,44,21,0,1
"pt113",-23.0864334244334,80.219701574832,0.145660877227783,NA,NA,NA,-16.4,0.3,18,30,25,0,1
"pt114",-20.6648306298447,79.5419959088439,0.155604690313339,NA,NA,NA,-16.4,0.3,18,31,24,0,1
"pt115",-158.996583330675,56.1318740357532,0.477494418621063,0,930,1944.83337402344,0.3,7.7,26,109,30,245,0
"pt116",-158.63560204908,57.0255186991624,0.466284453868866,10766,8103,1364.33337402344,2.4,10.6,26,72,40,6,0
"pt117",-157.796265684316,58.7879309768775,0.444050073623657,6380,4973,2590.75,0.9,11.5,26,83,42,4,0
"pt118",-157.320940244582,59.6579581115083,0.432933807373047,24530,5191,2779.66674804688,0,11.9,26,79,48,16,0
"pt119",-156.767116296323,60.5271684945061,0.421608835458755,11467,5704,3084,-1.4,11.5,25,81,55,120,0
"pt120",-156.185454202058,61.3948089907879,0.410293459892273,13447,5242,2776.08325195312,-1.7,12.5,24,74,59,10,0
"pt121",-155.57276962253,62.2609676488644,0.398882895708084,20351,3414,2592.25,-4.4,10.9,24,65,62,142,0
"pt122",-154.925361662575,63.1257342736002,0.387379765510559,49640,7677,3318.33325195312,-4,12.7,23,49,64,72,0
"pt123",-154.238896799607,63.9891999502366,0.375898569822311,47805,6919,2516.16674804688,-5,12.6,22,48,68,37,0
"pt124",-153.508259097493,64.8514559227919,0.364219069480896,40878,6429,2338.25,-5.3,13.1,22,51,64,58,0
"pt125",-152.727354572343,65.7125913929376,0.352568477392197,3451,5281,3768.33325195312,-6.8,12.3,22,49,62,122,0
"pt126",-151.888852368181,66.5726895088819,0.340837508440018,41159,5210,3722.58325195312,-5.9,13.5,22,42,52,8,0
"pt127",-151.438844829614,67.2929044700816,0.330868184566498,100928,5440,3451.58325195312,-8.5,11,21,40,56,344,0
